Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
1951/8/17,82,96,75,0.13,,
1951/8/18,78,89,72,0,,
1951/8/19,76,90,68,0,,
1951/8/20,80,92,72,0,,
1951/8/21,77,82,73,0.19,,
1951/8/22,75,82,70,0.41,,
1951/8/23,79,92,73,0,,
1951/8/24,81,94,71,0,,
1951/8/25,79,86,75,0.15,,
1951/8/26,78,87,75,0.56,,
1951/8/27,81,90,77,0.09,,
1951/8/28,78,89,75,0.34,,
1951/8/29,78,84,75,1.72,,
1951/8/30,80,89,75,0,,
1951/8/31,80,90,75,0,,
1951/9/1,78,85,73,0.03,,
1951/9/2,77,85,72,0,,
1951/9/3,76,84,69,0,,
1951/9/4,78,89,73,0,,
1951/9/5,76,84,71,0,,
1951/9/6,77,88,71,0,,
1951/9/7,74,80,70,0.19,,
1951/9/8,68,75,66,0.3,,
1951/9/9,70,78,66,0.26,,
1951/9/10,65,71,62,0.36,,
1951/9/11,67,79,61,0.06,,
1951/9/12,69,74,65,0,,
1951/9/13,68,78,60,0,,
1951/9/14,68,80,61,0.05,,
1951/9/15,67,73,62,0,,
1951/9/16,66,81,59,0,,
1951/9/17,69,83,63,0,,
1951/9/18,71,85,65,0,,
1951/9/19,67,77,62,0,,
1951/9/20,66,77,58,0,,
1951/9/21,68,80,62,0,,
1951/9/22,69,81,62,0,,
1951/9/23,69,75,66,0,,
1951/9/24,72,85,64,0,,
1951/9/25,73,83,68,0,,
1951/9/26,74,88,65,0,,
1951/9/27,74,85,67,0,,
1951/9/28,71,81,66,0,,
1951/9/29,70,84,65,0.17,,
1951/9/30,69,81,62,0,,
1951/10/1,67,81,58,0,,
1951/10/2,71,82,65,0,,
1951/10/3,70,79,65,0,,
1951/10/4,70,82,63,0,,
1951/10/5,69,77,66,0,,
1951/10/6,63,67,61,1.09,,
1951/10/7,65,68,63,0.3,,
1951/10/8,68,74,65,0.03,,
1951/10/9,70,80,65,0,,
1951/10/10,70,80,64,0,,
1951/10/11,69,79,62,0,,
1951/10/12,69,79,64,0,,
1951/10/13,68,78,63,0,,
1951/10/14,68,79,62,0,,
1951/10/15,68,83,60,0,,
1951/10/16,71,85,62,0,,
1951/10/17,71,85,64,0,,
1951/10/18,71,85,63,0,,
1951/10/19,75,88,67,0,,
1951/10/20,63,73,57,0,,
1951/10/21,58,64,55,0.09,,
1951/10/22,54,58,51,0.26,,
1951/10/23,54,64,51,0.09,,
1951/10/24,56,68,50,0,,
1951/10/25,58,70,49,0,,
1951/10/26,57,67,51,0,,
1951/10/27,56,67,49,0,,
1951/10/28,59,71,52,0,,
1951/10/29,61,75,53,0,,
1951/10/30,62,75,54,0,,
1951/10/31,63,78,54,0,,
1951/11/1,56,66,49,0,,
1951/11/2,52,65,43,0,,
1951/11/3,56,71,46,0,,
1951/11/4,60,72,53,0,,
1951/11/5,63,74,56,0,,
1951/11/6,53,63,46,0.2,,
1951/11/7,48,54,44,0.24,,
1951/11/8,49,59,43,0,,
1951/11/9,50,59,42,0,,
1951/11/10,53,59,48,0,,
1951/11/11,57,64,53,0,,
1951/11/12,59,69,51,0,,
1951/11/13,62,76,54,0,,
1951/11/14,64,73,60,0.19,,
1951/11/15,56,62,49,0.02,,
1951/11/16,51,61,44,0,,
1951/11/17,53,62,47,0,,
1951/11/18,52,57,49,0,,
1951/11/19,52,63,45,0,,
1951/11/20,55,65,48,0,,
1951/11/21,58,70,51,0,,
1951/11/22,38,51,31,0.77,,
1951/11/23,31,35,29,0.29,,
1951/11/24,35,47,27,0,,
1951/11/25,40,50,33,0,,
1951/11/26,36,46,28,0,,
1951/11/27,41,50,35,0,,
1951/11/28,45,50,41,0,,
1951/11/29,45,50,42,0.03,,
1951/11/30,43,45,39,0.43,,
1951/12/1,45,55,38,0.01,,
1951/12/2,48,55,40,0,,
1951/12/3,50,54,46,0.02,,
1951/12/4,44,49,39,0.02,,
1951/12/5,40,48,32,0,,
1951/12/6,39,49,33,0,,
1951/12/7,40,53,34,0,,
1951/12/8,38,51,29,0,,
1951/12/9,45,59,34,0,,
1951/12/10,49,61,40,0,,
1951/12/11,48,61,40,0,,
1951/12/12,48,65,39,0,,
1951/12/13,46,58,36,0,,
1951/12/14,37,43,29,0,,
1951/12/15,35,46,26,0,,
1951/12/16,39,52,29,0,,
1951/12/17,44,55,34,0,,
1951/12/18,51,61,44,0,,
1951/12/19,52,61,44,0,,
1951/12/20,54,65,44,0,,
1951/12/21,54,62,49,0.01,,
1951/12/22,53,59,48,0,,
1951/12/23,48,57,36,0.02,,
1951/12/24,52,61,43,0,,
1951/12/25,50,57,42,0.08,,
1951/12/26,41,48,36,0.01,,
1951/12/27,39,44,33,0,,
1951/12/28,42,48,39,0.01,,
1951/12/29,39,42,36,0.94,,
1951/12/30,43,48,37,1.01,,
1951/12/31,37,39,34,0.08,,
1952/1/1,39,45,34,0,,
1952/1/2,40,48,36,0.05,,
1952/1/3,36,40,32,0,,
1952/1/4,35,39,31,0.02,,
1952/1/5,36,43,31,0,,
1952/1/6,35,43,29,0,,
1952/1/7,32,40,24,0,,
1952/1/8,33,43,25,0,,
1952/1/9,40,52,31,0,,
1952/1/10,41,44,38,0,,
1952/1/11,38,45,33,0,,
1952/1/12,38,46,32,0,,
1952/1/13,37,39,34,0.27,,
1952/1/14,39,44,35,0,,
1952/1/15,35,43,29,0,,
1952/1/16,39,51,33,0,,
1952/1/17,42,52,35,0,,
1952/1/18,36,43,29,0,,
1952/1/19,40,54,29,0,,
1952/1/20,47,61,36,0,,
1952/1/21,47,57,41,0,,
1952/1/22,44,50,41,0,,
1952/1/23,42,49,37,0,,
1952/1/24,40,48,30,0.02,,
1952/1/25,31,41,23,0,,
1952/1/26,38,54,27,0,,
1952/1/27,44,58,33,0,,
1952/1/28,47,55,39,0.02,,
1952/1/29,44,48,40,0.04,,
1952/1/30,37,40,33,0.14,,
1952/1/31,37,41,33,0.09,,
1952/2/1,40,43,37,0,,
1952/2/2,33,37,28,0.06,,
1952/2/3,31,40,26,0,,
1952/2/4,34,42,28,0,,
1952/2/5,34,41,29,0,,
1952/2/6,39,42,35,0.29,,
1952/2/7,39,42,37,0.02,,
1952/2/8,41,45,38,0,,
1952/2/9,44,53,38,0,,
1952/2/10,47,60,37,0,,
1952/2/11,46,51,41,0,,
1952/2/12,46,49,41,0.06,,
1952/2/13,43,46,40,0.67,,
1952/2/14,40,43,36,0.47,,
1952/2/15,33,36,28,0.49,,
1952/2/16,26,28,24,0.12,,
1952/2/17,25,28,23,0.06,,
1952/2/18,24,29,20,0,,
1952/2/19,26,33,22,0,,
1952/2/20,30,41,23,0,,
1952/2/21,36,47,29,0,,
1952/2/22,35,44,31,0,,
1952/2/23,33,39,28,0,,
1952/2/24,36,37,34,0.3,,
1952/2/25,36,38,34,1.17,,
1952/2/26,35,42,32,0,,
1952/2/27,33,36,32,0.2,,
1952/2/28,33,34,31,0.3,,
1952/2/29,35,42,29,0,,
1952/3/1,38,43,35,0,,
1952/3/2,41,47,38,0,,
1952/3/3,40,45,35,0,,
1952/3/4,34,38,32,1.66,,
1952/3/5,34,36,33,0.05,,
1952/3/6,37,41,34,0.07,,
1952/3/7,38,40,38,0.57,,
1952/3/8,40,44,38,0,,
1952/3/9,38,42,35,0.33,,
1952/3/10,37,40,34,0,,
1952/3/11,38,45,34,0,,
1952/3/12,38,41,35,0.05,,
1952/3/13,43,54,37,0.01,,
1952/3/14,48,62,38,0,,
1952/3/15,52,63,44,0,,
1952/3/16,47,52,43,0.02,,
1952/3/17,48,56,42,0,,
1952/3/18,48,54,40,0.77,,
1952/3/19,40,46,35,0,,
1952/3/20,43,54,35,0,,
1952/3/21,48,60,39,0,,
1952/3/22,51,61,44,0,,
1952/3/23,50,59,43,0,,
1952/3/24,45,49,41,0,,
1952/3/25,44,50,40,0,,
1952/3/26,44,46,42,0.13,,
1952/3/27,47,54,44,0,,
1952/3/28,50,57,46,0,,
1952/3/29,53,64,45,0,,
1952/3/30,46,50,43,1.59,,
1952/3/31,50,62,43,0.01,,
1952/4/1,52,61,47,0,,
1952/4/2,51,63,42,0,,
1952/4/3,56,72,45,0,,
1952/4/4,63,78,54,0.02,,
1952/4/5,65,80,56,0,,
1952/4/6,61,68,57,0.71,,
1952/4/7,58,63,54,0,,
1952/4/8,58,71,52,0,,
1952/4/9,61,75,52,0,,
1952/4/10,60,70,53,0,,
1952/4/11,57,62,54,0.85,,
1952/4/12,53,56,49,0.02,,
1952/4/13,53,63,45,0,,
1952/4/14,55,65,47,0,,
1952/4/15,56,72,47,0,,
1952/4/16,65,83,53,0,,
1952/4/17,63,77,53,0,,
1952/4/18,57,69,50,0,,
1952/4/19,64,85,53,0,,
1952/4/20,57,63,54,0.36,,
1952/4/21,60,72,53,0,,
1952/4/22,56,66,48,0.07,,
1952/4/23,47,51,44,0.38,,
1952/4/24,50,59,44,0.35,,
1952/4/25,55,67,47,0,,
1952/4/26,62,79,53,0,,
1952/4/27,69,85,56,0,,
1952/4/28,66,71,58,0.16,,
1952/4/29,64,78,55,0,,
1952/4/30,65,76,60,0,,
1952/5/1,63,71,59,0.19,,
1952/5/2,70,81,64,0.09,,
1952/5/3,66,72,62,0.53,,
1952/5/4,61,62,59,0.05,,
1952/5/5,64,70,59,0.02,,
1952/5/6,65,68,63,0.79,,
1952/5/7,62,65,58,0.01,,
1952/5/8,61,71,54,0,,
1952/5/9,62,70,55,0,,
1952/5/10,62,65,60,0.38,,
1952/5/11,62,65,59,0.13,,
1952/5/12,67,79,60,0,,
1952/5/13,67,78,60,0,,
1952/5/14,67,78,59,0,,
1952/5/15,71,81,63,0,,
1952/5/16,72,85,63,0,,
1952/5/17,74,87,64,0,,
1952/5/18,67,73,63,0.59,,
1952/5/19,64,67,61,0.07,,
1952/5/20,67,77,62,0.07,,
1952/5/21,68,78,63,0.01,,
1952/5/22,68,78,65,0.09,,
1952/5/23,69,78,63,0,,
1952/5/24,68,77,62,0,,
1952/5/25,64,74,60,0,,
1952/5/26,65,73,63,0.58,,
1952/5/27,65,70,62,0.3,,
1952/5/28,69,82,61,0,,
1952/5/29,72,82,65,0,,
1952/5/30,70,81,63,0,,
1952/5/31,65,70,62,0.11,,
1952/6/1,68,83,60,0,,
1952/6/2,76,87,69,0,,
1952/6/3,78,89,72,0,,
1952/6/4,79,93,69,0,,
1952/6/5,82,96,74,0,,
1952/6/6,82,92,73,0,,
1952/6/7,78,85,75,0,,
1952/6/8,73,84,67,1.37,,
1952/6/9,68,78,63,0.05,,
1952/6/10,73,86,65,0,,
1952/6/11,72,80,68,0,,
1952/6/12,71,81,64,0,,
1952/6/13,73,84,66,0,,
1952/6/14,74,83,69,0,,
1952/6/15,74,83,70,0,,
1952/6/16,76,89,69,0,,
1952/6/17,81,95,71,0,,
1952/6/18,82,93,77,0,,
1952/6/19,76,83,72,0.06,,
1952/6/20,77,87,71,0,,
1952/6/21,73,82,66,0,,
1952/6/22,65,70,62,0.07,,
1952/6/23,71,83,63,0,,
1952/6/24,74,85,68,0,,
1952/6/25,74,86,67,0,,
1952/6/26,79,93,70,0,,
1952/6/27,83,92,78,0,,
1952/6/28,84,92,80,0,,
1952/6/29,87,100,79,0,,
1952/6/30,89,100,82,0,,
1952/7/1,88,97,81,0,,
1952/7/2,85,100,78,0.91,,
1952/7/3,73,79,69,0.6,,
1952/7/4,74,83,70,0.02,,
1952/7/5,75,82,71,0.02,,
1952/7/6,77,83,73,0,,
1952/7/7,74,80,73,0.25,,
1952/7/8,77,85,73,0,,
1952/7/9,78,86,73,0,,
1952/7/10,77,85,71,0,,
1952/7/11,76,83,70,0,,
1952/7/12,78,85,72,0,,
1952/7/13,77,82,73,0.03,,
1952/7/14,77,83,74,0.37,,
1952/7/15,76,81,72,0.13,,
1952/7/16,78,84,75,0.08,,
1952/7/17,78,86,74,0.07,,
1952/7/18,79,88,76,0.18,,
1952/7/19,79,85,76,0.04,,
1952/7/20,79,86,74,0.07,,
1952/7/21,75,79,72,0.25,,
1952/7/22,77,81,76,0.15,,
1952/7/23,81,94,75,1.14,,
1952/7/24,83,92,78,0.06,,
1952/7/25,84,94,79,0,,
1952/7/26,84,93,79,0,,
1952/7/27,84,94,79,0,,
1952/7/28,86,96,80,0,,
1952/7/29,86,96,81,0,,
1952/7/30,86,98,80,0,,
1952/7/31,88,98,83,0,,
1952/8/1,88,99,81,0,,
1952/8/2,81,88,75,0,,
1952/8/3,80,89,74,0,,
1952/8/4,74,80,68,1.41,,
1952/8/5,76,83,72,0.02,,
1952/8/6,77,82,73,0,,
1952/8/7,78,88,75,0.02,,
1952/8/8,80,89,76,0.01,,
1952/8/9,79,87,74,0,,
1952/8/10,81,90,76,0,,
1952/8/11,83,92,79,0,,
1952/8/12,83,94,77,0,,
1952/8/13,84,95,77,0,,
1952/8/14,81,93,76,0.76,,
1952/8/15,82,91,78,0,,
1952/8/16,78,85,72,0,,
1952/8/17,74,82,68,0,,
1952/8/18,76,86,70,0.01,,
1952/8/19,75,87,69,0,,
1952/8/20,77,88,70,0,,
1952/8/21,78,84,75,0.11,,
1952/8/22,77,81,74,0.56,,
1952/8/23,81,91,76,0.05,,
1952/8/24,80,90,73,0,,
1952/8/25,73,76,70,0.49,,
1952/8/26,73,79,69,1.28,,
1952/8/27,76,83,72,0.12,,
1952/8/28,74,78,69,0.28,,
1952/8/29,76,84,73,0,,
1952/8/30,77,90,74,0.63,,
1952/8/31,77,82,74,0.06,,
1952/9/1,76,80,74,0.15,,
1952/9/2,76,83,72,0.11,,
1952/9/3,76,85,72,0,,
1952/9/4,76,83,73,0,,
1952/9/5,78,87,73,0,,
1952/9/6,78,87,75,0.01,,
1952/9/7,78,85,75,0,,
1952/9/8,77,85,73,0.22,,
1952/9/9,76,82,75,0.08,,
1952/9/10,80,91,74,0,,
1952/9/11,83,96,77,0,,
1952/9/12,73,79,67,0.03,,
1952/9/13,68,72,65,0.22,,
1952/9/14,70,81,63,0,,
1952/9/15,74,83,67,0,,
1952/9/16,75,85,69,0,,
1952/9/17,73,80,69,0,,
1952/9/18,70,73,66,1.93,,
1952/9/19,68,71,66,0.39,,
1952/9/20,71,82,64,0,,
1952/9/21,71,81,66,0,,
1952/9/22,70,80,64,0,,
1952/9/23,74,88,67,0,,
1952/9/24,75,90,61,0.06,,
1952/9/25,63,69,58,0.07,,
1952/9/26,63,72,57,0,,
1952/9/27,64,76,58,0,,
1952/9/28,65,74,61,0,,
1952/9/29,66,76,60,0,,
1952/9/30,66,76,60,0,,
1952/10/1,68,78,62,0,,
1952/10/2,69,79,63,0,,
1952/10/3,67,79,58,0,,
1952/10/4,69,78,62,0,,
1952/10/5,67,72,64,0,,
1952/10/6,65,74,59,0,,
1952/10/7,65,74,60,0,,
1952/10/8,67,76,61,0,,
1952/10/9,67,76,63,0.12,,
1952/10/10,59,66,53,1.46,,
1952/10/11,54,61,49,0.02,,
1952/10/12,56,68,48,0,,
1952/10/13,60,71,52,0,,
1952/10/14,64,71,61,0.02,,
1952/10/15,60,68,52,0,,
1952/10/16,56,67,49,0,,
1952/10/17,58,71,51,0,,
1952/10/18,62,69,56,0,,
1952/10/19,67,77,60,0,,
1952/10/20,69,76,65,0.18,,
1952/10/21,61,70,54,0.08,,
1952/10/22,53,56,51,0.33,,
1952/10/23,51,55,49,0.01,,
1952/10/24,52,60,46,0,,
1952/10/25,56,64,52,0,,
1952/10/26,56,60,53,0,,
1952/10/27,57,64,52,0,,
1952/10/28,58,64,54,0.05,,
1952/10/29,59,69,54,0,,
1952/10/30,60,70,53,0,,
1952/10/31,58,68,50,0,,
1952/11/1,55,65,48,0,,
1952/11/2,58,69,51,0,,
1952/11/3,59,69,53,0,,
1952/11/4,58,68,53,0,,
1952/11/5,57,67,51,0,,
1952/11/6,57,65,52,0,,
1952/11/7,57,65,50,0,,
1952/11/8,59,69,52,0,,
1952/11/9,62,70,57,0,,
1952/11/10,65,76,58,0,,
1952/11/11,68,80,63,0,,
1952/11/12,57,64,54,0.04,,
1952/11/13,53,55,51,0.19,,
1952/11/14,54,55,53,0.33,,
1952/11/15,54,56,53,0.09,,
1952/11/16,51,54,48,0.06,,
1952/11/17,50,57,45,0,,
1952/11/18,50,54,46,0,,
1952/11/19,49,52,47,0.02,,
1952/11/20,47,52,44,0.14,,
1952/11/21,46,48,43,0.11,,
1952/11/22,48,53,47,0.17,,
1952/11/23,48,49,47,0.39,,
1952/11/24,49,51,46,0.15,,
1952/11/25,51,55,49,0.01,,
1952/11/26,51,55,46,0.05,,
1952/11/27,54,59,52,0.33,,
1952/11/28,51,55,48,0,,
1952/11/29,52,58,49,0,,
1952/11/30,56,62,51,0,,
1952/12/1,43,57,30,0.16,,
1952/12/2,23,30,19,0.1,,
1952/12/3,23,31,18,0,,
1952/12/4,27,35,24,0,,
1952/12/5,28,37,22,0,,
1952/12/6,31,40,25,0,,
1952/12/7,35,43,30,0,,
1952/12/8,35,42,31,0,,
1952/12/9,32,40,28,0,,
1952/12/10,34,45,27,0,,
1952/12/11,38,49,30,0,,
1952/12/12,39,52,30,0,,
1952/12/13,42,53,32,0,,
1952/12/14,45,56,38,0,,
1952/12/15,39,42,34,0,,
1952/12/16,36,49,32,0,,
1952/12/17,36,46,27,0,,
1952/12/18,40,50,33,0,,
1952/12/19,43,49,39,0,,
1952/12/20,42,45,39,0,,
1952/12/21,38,46,33,0,,
1952/12/22,39,52,29,0,,
1952/12/23,42,54,35,0,,
1952/12/24,39,43,36,0,,
1952/12/25,38,46,31,0,,
1952/12/26,40,47,35,0,,
1952/12/27,37,42,31,0.08,,
1952/12/28,33,41,27,0,,
1952/12/29,38,50,31,0,,
1952/12/30,43,49,38,0,,
1952/12/31,43,58,33,0,,
1953/1/1,36,42,30,0,,
1953/1/2,36,45,32,0,,
1953/1/3,35,42,30,0,,
1953/1/4,35,36,33,0.04,,
1953/1/5,34,37,31,0,,
1953/1/6,36,49,26,0,,
1953/1/7,33,38,27,0,,
1953/1/8,37,54,24,0,,
1953/1/9,49,64,38,0,,
1953/1/10,53,67,40,0,,
1953/1/11,42,56,31,0,,
1953/1/12,33,41,27,0,,
1953/1/13,32,36,30,0.02,,
1953/1/14,30,36,26,0,,
1953/1/15,30,37,26,0,,
1953/1/16,36,46,29,0,,
1953/1/17,28,37,21,0,,
1953/1/18,21,28,14,0,,
1953/1/19,28,34,24,0,,
1953/1/20,32,43,24,0,,
1953/1/21,35,47,25,0,,
1953/1/22,40,51,32,0,,
1953/1/23,40,50,32,0,,
1953/1/24,41,52,35,0.03,,
1953/1/25,34,38,32,0.99,,
1953/1/26,34,36,30,0.19,,
1953/1/27,34,39,30,0.06,,
1953/1/28,37,42,34,0,,
1953/1/29,37,45,31,0,,
1953/1/30,36,40,34,0.04,,
1953/1/31,37,43,33,0,,
1953/2/1,38,45,34,0,,
1953/2/2,39,41,36,0.05,,
1953/2/3,41,44,39,0.42,,
1953/2/4,42,44,40,0.34,,
1953/2/5,42,45,40,0.02,,
1953/2/6,40,42,38,0.13,,
1953/2/7,36,44,29,0,,
1953/2/8,32,42,26,0,,
1953/2/9,39,51,30,0,,
1953/2/10,50,62,40,0,,
1953/2/11,56,68,46,0,,
1953/2/12,46,54,39,0.15,,
1953/2/13,37,40,34,0.28,,
1953/2/14,37,39,35,0.04,,
1953/2/15,33,37,27,0,,
1953/2/16,30,36,26,0.31,,
1953/2/17,29,33,26,0.41,,
1953/2/18,26,33,22,0,,
1953/2/19,30,37,25,0,,
1953/2/20,35,42,31,0,,
